"Timestamp","TZ","SRS-Ni630 (W/m2nm)","SRS-Ni800 (W/m2nm)","SRS-Niso","SRS-Nr630 (W/m2nm)","SRS-Nr800 (W/m2nm)","SRS-Nrso","NDVI","VP4_Temp1m (DegC)","VP4_RH1m (%)","VP4_Pressure1m (kPa)","VP4_Temp2m (DegC)","VP4_RH2m (%)","VP4_Pressure2m (kPa)","GS3_VWC20 (%)","GS3_Temp20 (DegC)","GS3_EC20 (uS/cm)","GS3_VWC40 (%)","GS3_Temp40 (DegC)","GS3_EC40 (uS/cm)","GS3_VWC60 (%)","GS3_Temp60 (DegC)","GS3_EC60 (uS/cm)","PYR (W/m2)","PAR (umol/m2s)","IRT (DegC)","LWS (mV)","Leaf (mV)","Bud (mV)"
2019/01/23 00:30:00.005,n,0,0.0002,2,0,0.0001,1,Error,2.1,93.1,101.72,2.2,92.2,101.69,22.416884,9.8,9,29.050536,11.3,30,29.382724,12.3,67,0.04303,0.237808,1.9013,275.3576,19.835328,1.395401
2019/01/23 01:00:00.005,n,0,0,2,0,0,1,Error,2.3,90.8,101.7,2.6,88.5,101.68,22.39379,9.7,9,29.011254,11.3,29,29.382724,12.3,65,0.057945,0.244827,0.9756,275.16126,20.879536,1.336243
2019/01/23 01:30:00.006,n,0.0005,0,2,0,0.0001,1,Error,2.4,95.1,101.68,2.9,89.8,101.65,22.439962,9.7,9,29.050536,11.3,31,29.460446,12.3,66,0.057068,0.264092,2.3447,275.06622,19.97039,1.344009
2019/01/23 02:00:00.000,n,0.0004,0,2,0,0,1,Error,2.3,92.2,101.67,2.4,91.7,101.64,22.416884,9.7,10,29.0309,11.3,31,29.343804,12.3,66,0.061455,0.244827,1.0671,275.4104,21.063824,1.330025
2019/01/23 02:30:00.000,n,0.0002,0,2,0,0,1,Error,2.4,94.2,101.66,2.7,90,101.63,22.39379,9.7,10,29.050536,11.3,30,29.421604,12.3,67,0.062332,0.246582,2.1567,275.12562,20.247296,1.326225
2019/01/23 03:00:00.008,n,0.0002,0.0003,2,0,0,1,Error,2.1,93.1,101.67,2.5,87.8,101.65,22.416884,9.6,9,29.089776,11.3,31,29.343804,12.3,65,0.055313,0.26062,2.5568,275.15258,19.840382,1.329857
2019/01/23 03:30:00.000,n,0.0001,0,2,0,0.0001,1,Error,2.3,89.8,101.67,2.6,88.3,101.65,22.39379,9.6,9,29.050536,11.3,29,29.44103,12.3,67,0.057068,0.247459,1.0194,275.24006,20.771794,1.349709
2019/01/23 04:00:00.006,n,0,0,2,0,0,1,Error,2.3,94.5,101.65,2.7,90.5,101.62,22.39379,9.6,8,29.070158,11.3,30,29.479848,12.3,66,0.060577,0.24395,2.2122,275.1278,20.207974,1.337448
2019/01/23 04:30:00.007,n,0.0001,0,2,0,0,1,Error,2.1,93.6,101.62,2.4,89.9,101.6,22.439962,9.5,9,29.109378,11.3,31,29.40217,12.3,65,0.06321,0.245705,2.4243,275.24432,19.91713,1.330025
2019/01/23 05:00:00.000,n,0,0,2,0,0,1,Error,2.2,90.4,101.63,2.5,88.3,101.6,22.416884,9.5,8,29.070158,11.3,30,29.460446,12.3,66,0.06321,0.265884,1.1105,275.28314,21.129918,1.347809
