"""센서 날짜(년-월-일)""",센서 시간(시:분),수위(M),온도(℃),EC(ms/cm),염분,TDS(mg/L),,전원 날짜(년-월-일),전원 시간(시:분),전원(V)
2020-02-17T17:05:00+09:00,2020-02-17T17:05:00+09:00,-3.92,22.14,0,[05],0,,,,3.55
2020-02-17T17:10:00+09:00,2020-02-17T17:10:00+09:00,,,,,0,,,,
2020-02-17T17:15:00+09:00,2020-02-17T17:15:00+09:00,,,,,0,,,,
2020-02-17T17:20:00+09:00,2020-02-17T17:20:00+09:00,-3.91,22.12,0,[05],0,,,,
2020-02-17T17:25:00+09:00,2020-02-17T17:25:00+09:00,,,,,0,,,,
2020-02-17T17:30:00+09:00,2020-02-17T17:30:00+09:00,,,,,0,,,,
2020-02-17T17:35:00+09:00,2020-02-17T17:35:00+09:00,-3.92,22.06,0,[05],0,,,,
2020-02-17T17:40:00+09:00,2020-02-17T17:40:00+09:00,,,,,0,,,,
2020-02-17T17:45:00+09:00,2020-02-17T17:45:00+09:00,,,,,0,,,,
2020-02-17T17:50:00+09:00,2020-02-17T17:50:00+09:00,-3.93,21.89,0,[05],0,,,,
2020-02-17T17:55:00+09:00,2020-02-17T17:55:00+09:00,,,,,0,,,,
2020-02-17T18:00:00+09:00,2020-02-17T18:00:00+09:00,,,,,0,,,,
2020-02-17T18:05:00+09:00,2020-02-17T18:05:00+09:00,-3.94,21.71,0,[05],0,,,,
2020-02-17T18:10:00+09:00,2020-02-17T18:10:00+09:00,,,,,0,,,,
2020-02-17T18:15:00+09:00,2020-02-17T18:15:00+09:00,,,,,0,,,,
2020-02-17T18:20:00+09:00,2020-02-17T18:20:00+09:00,-3.95,21.47,0,[05],0,,,,
2020-02-17T18:25:00+09:00,2020-02-17T18:25:00+09:00,,,,,0,,,,
2020-02-17T18:30:00+09:00,2020-02-17T18:30:00+09:00,,,,,0,,,,
2020-02-17T18:35:00+09:00,2020-02-17T18:35:00+09:00,-3.97,21.09,0,[05],0,,,,
2020-02-17T18:40:00+09:00,2020-02-17T18:40:00+09:00,,,,,0,,,,
2020-02-17T18:45:00+09:00,2020-02-17T18:45:00+09:00,,,,,0,,,,
2020-02-17T18:50:00+09:00,2020-02-17T18:50:00+09:00,-3.98,20.68,0,[05],0,,,,
2020-02-17T18:55:00+09:00,2020-02-17T18:55:00+09:00,,,,,0,,,,
2020-02-17T19:00:00+09:00,2020-02-17T19:00:00+09:00,,,,,0,,,,
2020-02-17T19:05:00+09:00,2020-02-17T19:05:00+09:00,-3.99,20.3,0,[05],0,,,,
2020-02-17T19:10:00+09:00,2020-02-17T19:10:00+09:00,,,,,0,,,,
2020-02-17T19:15:00+09:00,2020-02-17T19:15:00+09:00,,,,,0,,,,
2020-02-17T19:20:00+09:00,2020-02-17T19:20:00+09:00,-4,19.99,0,[05],0,,,,
2020-02-17T19:25:00+09:00,2020-02-17T19:25:00+09:00,,,,,0,,,,
2020-02-17T19:30:00+09:00,2020-02-17T19:30:00+09:00,,,,,0,,,,
2020-02-17T19:35:00+09:00,2020-02-17T19:35:00+09:00,-4,19.74,0,[05],0,,,,
2020-02-17T19:40:00+09:00,2020-02-17T19:40:00+09:00,,,,,0,,,,
2020-02-17T19:45:00+09:00,2020-02-17T19:45:00+09:00,,,,,0,,,,
2020-02-17T19:50:00+09:00,2020-02-17T19:50:00+09:00,-4.01,19.53,0,[05],0,,,,
